5000 5000
3484 4081 2664
963 3156 3150
1490 4983 4694
1611 2786 4021
967 1211 250
3647 4359 3408
1844 2702 4185
4856 4970 3361
1781 4052 1444
1831 2311 3533
3077 3431 181
1668 3026 345
3918 4780 1044
1287 4835 3488
2133 2808 3221
3149 4576 442
1123 2903 293
2541 4151 4933
2090 4216 3333
4536 4645 678
1126 4307 654
419 4293 568
454 3373 993
679 3819 1893
4978 4998 3452
1214 1999 2061
4962 4970 4534
465 1331 2633
744 1545 2641
2535 3731 7
133 2131 2109
4173 4875 4404
4872 4899 2803
4215 4216 2951
3663 4420 3652
4189 4251 4971
1308 4206 3778
4951 4958 3362
3434 3681 4870
3794 4972 4570
4700 4899 3798
3239 4684 1282
540 4475 497
4879 4994 4366
2880 3467 2738
4297 4569 919
233 591 4379
973 2032 1385
4942 4970 4718
1606 2268 864
944 3418 3967
3940 4822 636
4354 4992 4846
4423 4490 523
2909 3840 1249
987 2964 4821
104 2357 577
2688 4788 692
4693 4901 4495
1994 2435 818
274 1216 3584
4044 4144 281
4320 4991 4534
4764 4780 1516
1292 4579 2554
2529 3868 3726
3700 4849 3373
501 1279 3393
2785 3131 3721
573 3691 3791
4239 4793 1980
2302 4596 3498
2688 2820 11
3878 4158 2375
3405 3771 334
3487 3943 2662
4597 4764 1792
3091 3158 2660
3250 3877 2935
4386 4435 4816
4175 4348 124
4186 4504 3510
1865 4623 3471
1584 3175 3366
2019 3323 1203
1050 3673 3755
1471 3632 4077
4021 4093 2360
2487 4994 3881
4095 4986 3081
3048 3066 638
508 4638 380
666 2874 4422
633 3048 3876
2983 4561 3458
4254 4291 4756
4039 4084 1096
4434 4752 2256
2161 2347 570
1155 1698 2233
1238 2786 502
966 4263 1742
3597 3697 2039
4925 4982 2291
2380 2458 1931
2107 2230 1229
3996 4920 3973
2617 3389 556
1354 3431 1582
337 2116 4627
1693 4022 589
1950 4412 4500
1244 2441 2972
4809 4938 4155
1219 4493 3144
4723 4923 1559
3176 4605 1092
4465 4767 2894
2241 4061 761
1993 4396 3573
4960 4962 1130
3536 4385 4171
3163 3972 1961
2193 2826 619
2784 3648 3060
891 1384 1617
2727 4220 4496
3443 4189 1915
2039 4622 4249
799 4083 4858
3483 3571 3191
4215 4944 3473
3642 3674 2902
1737 4433 2898
4394 4878 3206
2381 4832 4383
1308 4232 1207
3445 4635 3307
562 3087 1170
4118 4707 4408
4414 4711 2996
4819 4885 2165
2539 2956 1634
955 2482 2104
3528 4241 3102
3905 4542 3030
405 1732 4062
3490 3703 927
816 3842 3940
450 4418 3808
3876 4912 4738
938 2739 4536
901 3514 1648
1774 3871 4627
3620 4589 90
3608 3837 1282
3600 4544 2719
3133 3825 417
4530 4674 3120
4702 4941 2226
1613 3068 324
335 499 605
482 3274 3327
759 1438 757
1061 2845 65
4873 4874 2933
1573 3713 1560
3215 4202 4108
3527 4181 4871
4239 4343 1127
745 929 3234
3316 3542 3718
794 2579 2420
4312 4779 992
3441 4383 2600
1712 4924 4246
506 1174 1732
2825 4824 2730
2589 4251 2283
2292 3769 1338
524 1709 4692
2866 3298 4667
3892 4575 643
1889 4516 1715
4539 4947 382
3085 3449 4345
624 1844 4075
1721 3725 553
2302 3395 1737
2753 4382 1649
13 1249 4259
1924 4111 116
45 4995 1651
3978 4375 2391
4316 4983 4117
4323 4843 3562
1622 2924 573
4327 4908 2541
3331 3962 3495
3412 4101 300
429 3219 4248
4534 4636 3059
883 1325 2611
1250 1552 2006
2355 2443 107
1621 2177 1441
1509 2422 3895
3317 3708 3267
2708 4550 2713
1119 2596 3827
637 3246 1823
3476 4517 768
24 555 519
1333 3986 2747
3617 4078 3094
2889 2995 1448
4071 4792 399
2782 3850 4059
877 4817 1834
4819 4829 1271
4720 4956 790
2582 4551 4949
3970 4453 4953
3174 3599 4728
119 1476 1095
2117 2280 4500
633 2513 4097
2755 4517 1247
3030 4199 1119
1255 4507 2002
3917 4294 430
2579 4952 4242
1012 3302 3326
16 1757 383
1645 2486 3428
4908 4971 1486
210 3579 4764
4433 4803 2464
961 2060 4413
48 4125 454
2217 3800 568
3018 3207 1061
3991 4515 1197
3659 4154 4069
1488 4534 2424
384 4710 3508
104 1768 3071
2583 3837 21
1790 2356 2138
2627 3787 4811
897 3182 4739
1235 4184 3805
3623 4106 1644
3478 4378 4309
2798 4660 2686
2594 3130 3151
1745 3529 4074
4793 4854 1477
3608 4100 1874
2805 4773 4165
4625 4874 1006
1648 2579 953
2907 2985 3837
1758 3397 3512
3615 4939 3781
3294 4503 3418
607 4389 4784
3229 4205 2470
4735 4814 436
2675 4763 438
2243 4618 31
766 1761 2154
2587 4008 3214
3093 3281 3884
159 3996 4993
3999 4056 441
91 214 170
1086 2180 1702
1032 2536 2049
1075 4454 4963
71 358 2924
2097 4853 2856
2302 4210 2785
